Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Purchase,Collection Purchase - Detail,Collection Lyrics,Collection MoFi Sleeve,Collection 1st Play,Collection 2nd Play,Collection 3rd Play,Collection 4th Play,Collection 5th Play,Collection 6th Play,Collection 7th Play,Collection 8th Play,Collection 9th Play,Collection 10th Play,Collection Purchase Date,Collection Color,api_url,genre,style,num_songs,format,format_qty,community_have,community_want,rating_avg,rating_count,date_played,year,runtime
FAT-SP11LP,Animal Collective,Feels,FatCat Records,"2xLP, Album, RE, RP, Gat",NA,2011,7145421,Vinyl LPs (New),6/15/2016 20:24,NA,NA,Other,NA,NA,NA,6/23/2016,2/4/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/7145421,Rock,Avantgarde,9,Vinyl,2,741,515,4.56,70,2/4/2022,2005,51.85
19075-98898-1S,Freddie Gibbs & Madlib,Bandana Beats,"Madlib Invazion, ESGN, Keep Cool (3), RCA","LP, Album",NA,2020,14723219,Vinyl LPs (New),2/26/2020 15:36,Mint (M),Mint (M),"Other
",Newbury Comics,N/A,No,2/6/2022,11/18/2022,4/21/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/14723219,Hip Hop,Instrumental,15,Vinyl,1,1567,522,4.49,67,2/6/2022,2020,45.25
"4AD0129LPXE, 4AD0129LP",Big Thief,U.F.O.F.,"4AD, 4AD","LP, Album, Ltd, Ora",NA,2019,13563322,Vinyl LPs (New),5/7/2019 23:10,Mint (M),Mint (M),Other,Tonevendor,Yes,Yes,10/31/2021,2/11/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orange,https://api.discogs.com/releases/13563322,Rock,Indie Rock,12,Vinyl,1,1634,373,4.48,87,2/11/2022,2019,43.25
"SP 777, SP 781",Fleet Foxes,Fleet Foxes,"Sub Pop, Sub Pop","LP, Album + 12"", EP + Gat",4,2008,1359927,Vinyl LPs (New),12/25/2014 15:38,Mint (M),Mint (M),Amazon,Gift,NA,No x2,1/4/2015,2/11/2022,2/17/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/1359927,Rock,Folk Rock,18,Vinyl,1,25748,5600,4.46,1976,2/11/2022,2008,39.37
SP 888,Fleet Foxes,Helplessness Blues,Sub Pop,"2xLP, Album, Gat",4,2011,2856645,Vinyl LPs (New),7/9/2014 0:04,Very Good Plus (VG+),Near Mint (NM or M-),"Park Ave CDs
",NA,NA,NA,7/8/2014,1/4/2015,2/11/2022,2/20/2023,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/2856645,Rock,Indie Rock,12,Vinyl,2,15864,2819,4.47,1125,2/11/2022,2011,49.95
SP1470,Beach House,Once Twice Melody,Sub Pop,"LP, Gol + LP, Cle + Box, Album, Ltd",NA,2022,22137061,Vinyl LPs (New),2/23/2022 15:49,Mint (M),Mint (M),Label,Sub Pop,NA,"Yes x2
",2/23/2022,12/2/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gold, Clear",https://api.discogs.com/releases/22137061,Rock,Indie Rock,22,Vinyl,1,4133,656,4.7,232,2/23/2022,2022,84.47
"GLS-0300-01, GLS-0292-01",Chvrches,Screen Violence,"Glassnote (2), Glassnote (2), Goodbye Records (2)","LP, Album, Red",NA,2021,20017387,Vinyl LPs (New),9/12/2021 6:23,Mint (M),Mint (M),"Park Ave CDs
",NA,Yes,Yes,9/14/2021,11/26/2021,3/1/2022,5/27/2022,2/15/2023,NA,NA,NA,NA,NA,NA,Red,https://api.discogs.com/releases/20017387,Electronic,Synth-pop,10,Vinyl,1,1899,170,4.6,89,3/1/2022,2021,42.78
ATO0448,Nilüfer Yanya,Miss Universe,ATO Records,"2xLP, Album, Club, Ltd, Num, Gre",NA,2019,13441209,Vinyl LPs (New),4/8/2019 15:52,NA,NA,Label,Vinyl Me Please,NA,Yes x2,3/4/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green, Green",https://api.discogs.com/releases/13441209,Rock,Indie Pop,17,Vinyl,2,334,167,4.59,32,3/4/2022,2019,52.95
ATO0572,Nilüfer Yanya,Inside Out,ATO Records,"LP, Comp, Ltd, Pin",NA,2021,20589154,Vinyl LPs (New),3/5/2022 3:41,Mint (M),Mint (M),Label,ATO Records,NA,No,3/4/2022,12/30/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pink,https://api.discogs.com/releases/20589154,Pop,,7,Vinyl,1,451,78,4.67,18,3/4/2022,2021,25.87
BFM001,Nilüfer Yanya,Small Crimes,Blue Flowers Music,"12"", EP, Ltd, Pin",NA,2016,10341140,Vinyl LPs (New),6/12/2018 22:05,Mint (M),Mint (M),eBay,rarewaves,NA,Yes,3/4/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pink,https://api.discogs.com/releases/10341140,Rock,Indie Rock,2,Vinyl,1,71,125,4.86,7,3/4/2022,2016,14.13
ATO0594,Nilüfer Yanya,Painless,ATO Records,"LP, Album, Ltd, Gre",NA,2022,22350370,Vinyl LPs (New),3/5/2022 3:43,Mint (M),Mint (M),Label,ATO Records,NA,No,3/11/2022,4/2/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,https://api.discogs.com/releases/22350370,Pop,Indie Pop,12,Vinyl,1,289,98,4.38,13,3/11/2022,2022,46.53
88883770971,Haim (2),Days Are Gone,Columbia,"2x12"", Album, 180",4,2013,5028492,Vinyl LPs (New),6/26/2015 1:53,Mint (M),Mint (M),Insound,NA,Printed sleeves w/lyrics,Yes x2,6/25/2015,3/11/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/5028492,Rock,Alternative Rock,11,Vinyl,2,5471,1205,4.32,281,3/11/2022,2013,83.27
DB 77821,David Bowie,Low,Parlophone,"LP, Album, RE, RM, Por",NA,2018,11597112,Vinyl LPs (New),2/23/2018 18:16,Mint (M),Mint (M),Amazon,NA,NA,Yes,6/19/2021,3/11/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/11597112,Electronic,Art Rock,11,Vinyl,1,4908,783,4.67,445,3/11/2022,1977,39
ATO0594,Nilüfer Yanya,Painless,ATO Records,"LP, Album, Ltd, Gre",NA,2022,22350370,Vinyl LPs (New),3/5/2022 3:43,Mint (M),Mint (M),Label,ATO Records,NA,No,3/11/2022,4/2/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,https://api.discogs.com/releases/22350370,Pop,Indie Pop,12,Vinyl,1,289,98,4.38,13,4/2/2022,2022,46.53
OLE-1179-1,Snail Mail (2),Lush,Matador,"LP, Album",NA,2018,12100638,Vinyl LPs (New),4/4/2022 17:42,Mint (M),Mint (M),"Park Ave CDs
",NA,NA,Yes,4/4/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/27/2018 21:30,NA,https://api.discogs.com/releases/12100638,Rock,Indie Rock,10,Vinyl,1,6686,1241,4.43,328,4/4/2022,2018,38.27
OLE-1047-1,The New Pornographers,Brill Bruisers,Matador,"LP, Album, Gat",5,2014,6033812,Vinyl LPs (New),2/3/2016 1:00,NA,NA,GoHastings,NA,NA,"Yes
",4/5/2022,4/5/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/6033812,Rock,Indie Rock,13,Vinyl,1,980,137,4.13,60,4/5/2022,2014,43.02
MRG265LP,Spoon,Gimme Fiction,Merge Records,"LP, Album",NA,2005,1396831,Vinyl LPs (New),5/10/2017 18:53,Mint (M),Mint (M),Amazon,NA,NA,Yes,4/5/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/1396831,Rock,Indie Rock,11,Vinyl,1,4498,635,4.48,330,4/5/2022,2005,43.8
19075965221,"Tyler, The Creator",Igor,Columbia,"LP, Album, Gat",NA,2019,14215683,Vinyl LPs (New),6/27/2020 22:12,Mint (M),Mint (M),"Target
",NA,NA,NA,4/6/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/14215683,Hip Hop,Contemporary R&B,12,Vinyl,1,26911,4903,4.6,1260,4/6/2022,2019,39.72
FKR041-1,The Antlers,Hospice,Frenchkiss Records,"LP, Album",NA,2009,1927451,Vinyl LPs (New),6/3/2016 1:55,NA,NA,GoHastings,NA,NA,NA,4/11/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/1927451,Rock,Indie Rock,10,Vinyl,1,3962,1300,4.37,391,4/11/2022,2009,51.78
832579,Angèle (3),Brol La Suite,Angèle VL Records,"LP, Nou",NA,2019,14488825,Vinyl LPs (New),11/12/2020 21:16,Mint (M),Mint (M),"Other
",Discogs,No,Yes,11/13/2020,4/11/2022,2/10/2023,NA,NA,NA,NA,NA,NA,NA,NA,Red,https://api.discogs.com/releases/14488825,Pop,Indie Pop,7,Vinyl,1,1163,172,4.57,67,4/11/2022,2018,40.93
B0025355-01,Beck,Sea Change,DGC,"2xLP, Album, RE",NA,2016,9436063,Vinyl LPs (New),12/6/2017 20:37,NA,NA,Amazon,NA,NA,Yes x2,4/15/2022,2/1/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/9436063,Rock,Alternative Rock,12,Vinyl,2,9102,1798,4.68,721,4/15/2022,2002,52.37
19075983021,Bon Entendeur,Aller - Retour,"Columbia, Sony Music","2xLP, Album, RE",NA,2019,14869326,Vinyl LPs (New),7/27/2020 21:43,Mint (M),Mint (M),eBay,get_importcds,NA,Yes x2,7/27/2020,6/12/2021,4/15/2022,2/10/2023,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/14869326,Electronic,Ambient,14,Vinyl,2,635,91,4.44,39,4/15/2022,2019,44.13
573639-9,Juliette Armanet,Petite Amie,"Barclay, Universal Music France","LP, Album",NA,2017,10098719,Vinyl LPs (New),7/27/2020 21:40,Mint (M),Mint (M),eBay,get_importcds,NA,Yes,7/27/2020,4/16/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/10098719,Pop,Chanson,12,Vinyl,1,1203,103,4.56,84,4/16/2022,2018,38.7
"BB147LP, ZOD009",La Femme (4),Runway / Me Suive,"Born Bad Records, Disque Pointu","12"", Maxi, RSD",NA,2021,19101799,Vinyl LPs (New),6/21/2021 9:37,Mint (M),Mint (M),"Other
",Discogs,NA,NA,4/26/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/19101799,Electronic,Synth-pop,2,Vinyl,1,636,86,4.52,33,4/26/2022,2018,20.42
7.24358E+11,Radiohead,Hail To The Thief,Capitol Records,"2xLP, Album",NA,2008,1450558,Vinyl LPs (New),4/16/2016 5:49,NA,NA,GoHastings,NA,NA,NA,6/8/2021,4/29/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/1450558,Electronic,Alternative Rock,14,Vinyl,2,7336,2552,4.5,726,4/29/2022,2003,56.55
